review_id,model_name,created_at,total_duration_ns,load_duration_ns,prompt_eval_duration_ns,generation_duration_ns,input_token_count,output_token_count
tJ9htfCsiyvk8p2zngXspQ,llama3.2,2026-06-25T22:49:31.00135Z,4032468667,98837250,326810000,3604519000,948,113
fTRJ99zIGco6bhTxrDTxyA,llama3.2,2026-06-25T22:49:36.443157Z,5437218333,98801291,852153000,4483299000,1062,142
vIhwHAFgqadmoOsBB-fpiw,llama3.2,2026-06-25T22:49:40.643323Z,4196003250,98339875,485545000,3609413000,980,117
-P5UnsmTLKg73cuWDslMog,llama3.2,2026-06-25T22:49:45.302438Z,4654238125,98668750,681362000,3871226000,1024,124
QucIX7-GhDnJAQB2iPh4zQ,llama3.2,2026-06-25T22:49:51.146454Z,5839064042,99359584,508514000,5228369000,970,160
jGL1JKYEfco-D9TWhaQe8w,llama3.2,2026-06-25T22:49:55.114871Z,3963397792,99045625,309147000,3552802000,962,116
QFi1jH4BkmSlPHUqLB7zVg,llama3.2,2026-06-25T22:50:00.144507Z,5024858750,97870208,313984000,4610827000,955,148
btJX35dfmsfMYrP2uqE-Cw,llama3.2,2026-06-25T22:50:04.679344Z,4530315041,98049500,991647000,3437563000,1067,116
oDUZ2KPhilhoOhe1TLzUBw,llama3.2,2026-06-25T22:50:08.684031Z,4000232375,100356666,322757000,3575007000,955,113
5BT0-IPs3qwAoQQ50FliGg,llama3.2,2026-06-25T22:50:13.530501Z,4841836166,99173750,956264000,3783306000,1076,121
_3BhluRPWS1jBHWEjaeV7Q,llama3.2,2026-06-25T22:50:17.687687Z,4153425250,98241917,461938000,3590247000,977,119
CxaQmjGJpH_Xnxnh0tZDbQ,llama3.2,2026-06-25T22:50:21.681424Z,3988847250,98134125,341442000,3546282000,965,115
1UEgWOLMLVQK00MpBIS2Hw,llama3.2,2026-06-25T22:50:26.03313Z,4346594208,98190542,281799000,3964328000,935,125
zn-_C-lpJl5dma-i52rZhA,llama3.2,2026-06-25T22:50:30.65513Z,4617331834,98377334,502471000,4013540000,986,130
IWlmNCZ_01wm4Dq6nRFnXQ,llama3.2,2026-06-25T22:50:34.535885Z,3876309791,98572375,327664000,3447765000,956,110
OPsZBBGxxhpwXDxBs38cBA,llama3.2,2026-06-25T22:50:39.835493Z,5294547875,98362042,650412000,4542836000,1019,147
ngd09V3fb7mye38xxwUjAA,llama3.2,2026-06-25T22:50:43.675304Z,3834785667,98742667,315956000,3417997000,939,111
dAiytxnJDNaoVbdn0z6aWg,llama3.2,2026-06-25T22:50:49.052871Z,5373228542,99083208,319019000,4952421000,959,155
OTy1q2tvZArrZA0VWK8hLQ,llama3.2,2026-06-25T22:50:53.828787Z,4770117959,98825250,652296000,4016219000,1000,130
WIU18p0Q4-SIbafWnw0Pfg,llama3.2,2026-06-25T22:51:00.342537Z,6508737959,97837834,1942203000,4465406000,1295,143
fENeR4E7ZlXD8nSQ3Tbp8Q,llama3.2,2026-06-25T22:51:04.726717Z,4378883334,98951167,299902000,3977713000,938,130
OkkdBbjsp8Hg4FOit_b3qQ,llama3.2,2026-06-25T22:51:11.742843Z,7013129916,100159875,987421000,5922541000,1088,187
y36J66jJqrSa967JDSo3IA,llama3.2,2026-06-25T22:51:16.148997Z,4401884750,98668334,642260000,3658071000,1033,122
hVqo5d7GMVqGjvvDyFqd1Q,llama3.2,2026-06-25T22:51:21.061368Z,4907796792,97761792,518341000,4288068000,984,136
SrbPGR41yrP1-ElahE-3Fw,llama3.2,2026-06-25T22:51:24.731304Z,3664699500,98116166,178454000,3385987000,932,110
SUHtom6TYtePfASKvVl-WA,llama3.2,2026-06-25T22:51:29.185928Z,4449865916,98657416,823444000,3524548000,1059,117
GkGcAZQjA4TchnMnSSk6Og,llama3.2,2026-06-25T22:51:34.232514Z,5041378542,98809250,510010000,4429408000,981,137
HGfAy9NC7AMYpB597DJKbA,llama3.2,2026-06-25T22:51:38.061005Z,3823370209,99132750,321192000,3400687000,959,111
yyIcFox2pgXJQuRrV9tWHQ,llama3.2,2026-06-25T22:51:42.294912Z,4229230709,98300417,482070000,3646199000,972,118
VxvCNaN2Fl_qh1VNJxpnTQ,llama3.2,2026-06-25T22:51:46.518229Z,4218400000,98493417,329661000,3788050000,962,121
vf3nT2RoKWRGEfPq7U_s6w,llama3.2,2026-06-25T22:51:52.96317Z,6441639792,97851208,1008588000,5332207000,1081,159
fXJn_Z5rshUAs_S_KgEenw,llama3.2,2026-06-25T22:51:56.679509Z,3713328958,98750750,266322000,3345940000,960,111
2Cbnwc_oAqkyH4xRqcr9ig,llama3.2,2026-06-25T22:52:02.56928Z,5885354750,97964708,1282033000,4502185000,1149,146
m2ys8CxFArAj3qkBX5ElCw,llama3.2,2026-06-25T22:52:10.097403Z,7522003958,98728917,1412860000,6007207000,1169,190
zwAUEERzDjwqp_mnbNXhNw,llama3.2,2026-06-25T22:52:15.909737Z,5807218834,98064709,935518000,4770649000,1085,153
eu1ccVJSASYxhIX3MqRflQ,llama3.2,2026-06-25T22:52:21.716425Z,5801736583,98095667,1857549000,3842744000,1301,128
fn-7A9JAkZNmmSSueTL1lQ,llama3.2,2026-06-25T22:52:26.065406Z,4344465500,99096708,331377000,3911701000,943,123
F38k0Nkys0aVVmIRYoQyKg,llama3.2,2026-06-25T22:52:33.221747Z,7151554125,99332208,1722851000,5326364000,1254,166
7FPS8PgN199E0uwXo4BBuw,llama3.2,2026-06-25T22:52:39.703142Z,6476743333,99788500,1488304000,4885468000,1250,156
g-lnHAl8qzwYWw_p12ZqNg,llama3.2,2026-06-25T22:52:47.39129Z,7683472666,100498750,2375383000,5204065000,1435,164
sB4rlC_ma6MJyoKcWCZ0uA,llama3.2,2026-06-25T22:52:51.89093Z,4494908708,100067417,694196000,3697616000,1035,121
1N_j2BHPDuyy8EhjsBhVww,llama3.2,2026-06-25T22:52:56.452606Z,4556790667,100520500,527259000,3926075000,987,122
7jwNmlTKIse1tKNtf5Yfcg,llama3.2,2026-06-25T22:53:00.506829Z,4049047458,99515000,287340000,3659810000,950,119
R8wUG3hCqNE5mjFyPRlnxQ,llama3.2,2026-06-25T22:53:04.828338Z,4316355291,100136291,505775000,3707719000,971,119
97G4uUrKN08qiS2cUvMcVQ,llama3.2,2026-06-25T22:53:09.386674Z,4552981084,101269459,986128000,3462667000,1078,115
zIjZfA-uQC27i9eQ-_LWhw,llama3.2,2026-06-25T22:53:14.46951Z,5077187416,99501333,1318854000,3655787000,1130,121
LULPu_QpUm1H3EdG12-GmA,llama3.2,2026-06-25T22:53:19.02123Z,4546736209,99233209,694117000,3750444000,1008,121
tNAGZ8Izma9WK6UGOF4BJA,llama3.2,2026-06-25T22:53:23.543216Z,4518469500,99260583,546001000,3870290000,997,124
cmuzcewEIi7ydm286vZqGw,llama3.2,2026-06-25T22:53:28.852883Z,5304765625,99165584,844267000,4358306000,1036,140
Eiv58jOZCqEJLsjSvWJlKg,llama3.2,2026-06-25T22:53:32.808374Z,3950978167,98193667,175001000,3675405000,930,115
HDAgNEU6DcjgRyMlEJKnLQ,llama3.2,2026-06-25T22:53:37.331925Z,4518762209,99921250,312001000,4104541000,963,129
fwfm_o-fPt77AJKOZ6PFFQ,llama3.2,2026-06-25T22:53:43.09829Z,5761881000,97818584,1107861000,4553139000,1110,146
nlICCM1tSb2JwlfJtZ4mWA,llama3.2,2026-06-25T22:53:49.488739Z,6385450500,98127875,939307000,5345154000,1068,168
4bokjmOfLsuInCG2YhfU_A,llama3.2,2026-06-25T22:53:53.539691Z,4046196458,97919250,304516000,3641403000,966,117
1UDHt0CRmVMSUIcj3T36dw,llama3.2,2026-06-25T22:53:57.563309Z,4018909541,99315041,320834000,3596666000,948,113
E1uWye1DXKVYC0onLSpgeA,llama3.2,2026-06-25T22:54:03.077965Z,5509360542,98352917,1001919000,4405967000,1090,136
gxHVXz1Ny5eujrSqZiN7Bw,llama3.2,2026-06-25T22:54:07.259387Z,4175756958,99548750,410544000,3662290000,972,118
QoCSOHDiwkrdp0qJUeIg3Q,llama3.2,2026-06-25T22:54:11.54187Z,4279517667,98927250,341153000,3837079000,965,121
ZmSNKhaNTKsiFJxy_BEi3A,llama3.2,2026-06-25T22:54:15.498015Z,3951666208,99390083,500106000,3349264000,980,108
yiqmcoKMU9mCVAQojlWNgA,llama3.2,2026-06-25T22:54:20.905651Z,5402783334,98780709,311360000,4990270000,942,153
tXuitKb0c6iSJXIR2Ud1mA,llama3.2,2026-06-25T22:54:25.04602Z,4135105208,98301958,524965000,3508883000,970,114
hZCcdnvR6Ic1jeMiEG3lmg,llama3.2,2026-06-25T22:54:29.546434Z,4495869208,98286333,338192000,4056966000,947,127
uFka9OThfA_Auwarbd94MQ,llama3.2,2026-06-25T22:54:34.710687Z,5159622334,98383084,834613000,4223410000,1054,131
6X1_7Bx5G6VJfCAh6eeSYw,llama3.2,2026-06-25T22:54:40.274763Z,5557979250,99058583,1434495000,4021132000,1198,131
LShnfZiip-S1SN21_n2mDw,llama3.2,2026-06-25T22:54:44.933779Z,4654812084,100360125,507619000,4044548000,968,128
RPNgq_MuHpryBMi8FcUIIQ,llama3.2,2026-06-25T22:54:50.010398Z,5071476833,98746625,832081000,4137890000,1034,133
tNuDrkWlutZGXLAiFO_P7A,llama3.2,2026-06-25T22:54:54.94923Z,4934420834,98889917,685521000,4147171000,1021,131
EI1MM58ZEVa0_JpZ5y7PoQ,llama3.2,2026-06-25T22:54:59.076564Z,4122300541,98975250,319790000,3701463000,940,115
thmr1Q5VdfRX7-9cuxaDQg,llama3.2,2026-06-25T22:55:04.17777Z,5095605875,99493500,510098000,4483014000,987,138
2VE_0djkShv_biZXyqYNVA,llama3.2,2026-06-25T22:55:09.917537Z,5736301125,98531958,952615000,4682219000,1075,143
jxh4fKN8H1ekLcozHaVpFg,llama3.2,2026-06-25T22:55:13.724049Z,3801982959,98910167,161598000,3539136000,928,112
cWWfjBVC-CXo-c2KL2JhKw,llama3.2,2026-06-25T22:55:22.948149Z,9221270709,98227917,2002231000,7117225000,1312,222
rEbLhNZm1LUbuw8GR9yNVA,llama3.2,2026-06-25T22:55:27.92402Z,4971110458,98862750,943923000,3925360000,1071,125
sgj1abY9wKvSbNjUcMWfzw,llama3.2,2026-06-25T22:55:32.696145Z,4766641208,98928083,1316463000,3348380000,1129,112
J0mw-Am5JkMY84a9HLwaEA,llama3.2,2026-06-25T22:55:38.299702Z,5598923834,98361917,1546487000,3950802000,1183,127
lFn5y79s1QO4YVRdLvOMPg,llama3.2,2026-06-25T22:55:42.350796Z,4045050041,99496291,184639000,3758502000,934,117
rvVhxxycVgEN47R9MFrhXA,llama3.2,2026-06-25T22:55:48.762053Z,6406162875,98376500,992152000,5312468000,1069,145
e0h-eXNPrEfbaUCCCP9Bfw,llama3.2,2026-06-25T22:55:54.357055Z,5590049542,100934083,470886000,5015204000,980,133
Yy2v0QZN2-tbxn4SAFFY7g,llama3.2,2026-06-25T22:55:59.415854Z,5053104750,99851708,572008000,4378438000,1027,134
buuT9AnGCViEGhxlXM58rA,llama3.2,2026-06-25T22:56:05.606044Z,6185788167,99641917,2243793000,3838922000,1383,122
N7zQfCgdfMNrKliJWh5nIA,llama3.2,2026-06-25T22:56:10.60563Z,4994468875,100487709,1042131000,3848540000,1082,124
bH3TlxvMFVgzXkevhKaMMw,llama3.2,2026-06-25T22:56:16.326898Z,5715809542,97845958,912815000,4702008000,1045,140
EMFgHENirt7W2Etf96FNTQ,llama3.2,2026-06-25T22:56:21.937563Z,5607367125,98898666,722265000,4783165000,1039,144
Z6ffijbxOKUixHImgPiVPQ,llama3.2,2026-06-25T22:56:26.345057Z,4402190042,98604834,450330000,3850248000,992,125
_uwlCGZMhSzcgJABCN0wpg,llama3.2,2026-06-25T22:56:31.391779Z,5043762125,98299250,1087894000,3854699000,1087,117
PhG2AcM83nJb4O6gqVZRsQ,llama3.2,2026-06-25T22:56:37.675379Z,6278800625,105359125,635260000,5535154000,1004,164
GakrjTjBk1s6UeFrlHLONA,llama3.2,2026-06-25T22:56:42.551301Z,4871322542,98541417,555890000,4214011000,1004,127
gYrM42zzFzt4OFJkVCP3Ww,llama3.2,2026-06-25T22:56:47.07139Z,4515578125,98482042,464910000,3949491000,979,120
0UW5xzq-CWcX5ftTx3n2rg,llama3.2,2026-06-25T22:56:51.515615Z,4439464375,98457417,330671000,4008149000,957,122
xdYwmZz4mv-0dY5_3JF-ug,llama3.2,2026-06-25T22:56:57.44986Z,5929893500,99368333,1578308000,4249090000,1198,130
Di3Wl_MN4BUKSW_Zq7Nk9w,llama3.2,2026-06-25T22:57:01.694033Z,4239293042,98849209,473008000,3664400000,975,118
